strategy,accuracy,macro_f1,rumor_f1,precision_1,recall_1,tn,fp,fn,tp,candidate_low,candidate_high,override_confidence,llm_calls,overrides,rescued_false_negatives,new_false_positives,delta_accuracy,delta_recall_1,delta_fp,delta_fn
fn_review_low_0.20_conf_0.80,0.8827930174563591,0.8784260603128528,0.8553846153846154,0.9266666666666666,0.7942857142857143,215,11,36,139,0.2,0.5,0.8,79,1,1,0,0.0024937655860348684,0.005714285714285672,0,-1
fn_review_low_0.20_conf_0.85,0.8827930174563591,0.8784260603128528,0.8553846153846154,0.9266666666666666,0.7942857142857143,215,11,36,139,0.2,0.5,0.85,79,1,1,0,0.0024937655860348684,0.005714285714285672,0,-1
fn_review_low_0.20_conf_0.90,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.2,0.5,0.9,79,0,0,0,0.0,0.0,0,0
fn_review_low_0.20_conf_0.95,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.2,0.5,0.95,79,0,0,0,0.0,0.0,0,0
fn_review_low_0.25_conf_0.80,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.25,0.5,0.8,54,0,0,0,0.0,0.0,0,0
fn_review_low_0.25_conf_0.85,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.25,0.5,0.85,54,0,0,0,0.0,0.0,0,0
fn_review_low_0.25_conf_0.90,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.25,0.5,0.9,54,0,0,0,0.0,0.0,0,0
fn_review_low_0.25_conf_0.95,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.25,0.5,0.95,54,0,0,0,0.0,0.0,0,0
fn_review_low_0.30_conf_0.80,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.3,0.5,0.8,41,0,0,0,0.0,0.0,0,0
fn_review_low_0.30_conf_0.85,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.3,0.5,0.85,41,0,0,0,0.0,0.0,0,0
fn_review_low_0.30_conf_0.90,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.3,0.5,0.9,41,0,0,0,0.0,0.0,0,0
fn_review_low_0.30_conf_0.95,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.3,0.5,0.95,41,0,0,0,0.0,0.0,0,0
fn_review_low_0.35_conf_0.80,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.35,0.5,0.8,24,0,0,0,0.0,0.0,0,0
fn_review_low_0.35_conf_0.85,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.35,0.5,0.85,24,0,0,0,0.0,0.0,0,0
fn_review_low_0.35_conf_0.90,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.35,0.5,0.9,24,0,0,0,0.0,0.0,0,0
fn_review_low_0.35_conf_0.95,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.35,0.5,0.95,24,0,0,0,0.0,0.0,0,0
fn_review_low_0.40_conf_0.80,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.4,0.5,0.8,12,0,0,0,0.0,0.0,0,0
fn_review_low_0.40_conf_0.85,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.4,0.5,0.85,12,0,0,0,0.0,0.0,0,0
fn_review_low_0.40_conf_0.90,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.4,0.5,0.9,12,0,0,0,0.0,0.0,0,0
fn_review_low_0.40_conf_0.95,0.8802992518703242,0.8757167209050054,0.8518518518518519,0.9261744966442953,0.7885714285714286,215,11,37,138,0.4,0.5,0.95,12,0,0,0,0.0,0.0,0,0
