strategy,feature_set,scale,folds,accuracy_mean,accuracy_std,macro_f1_mean,macro_f1_std,rumor_f1_mean,rumor_f1_std,precision_1_mean,precision_1_std,recall_1_mean,recall_1_std,fp_mean,fp_std,fn_mean,fn_std
baseline,baseline,0.0,5,0.8641059198185228,0.01764429841563474,0.8605850286002896,0.0186555424571206,0.8385424608886447,0.023457120503815626,0.8698954238136274,0.0158100402786938,0.8100626877367116,0.0388509109789105,30.0,4.06201920231798,47.0,9.669539802906858
strict_rhetorical_scale_0.5,strict,0.5,5,0.8641059198185228,0.01764429841563474,0.8605850286002896,0.0186555424571206,0.8385424608886447,0.023457120503815626,0.8698954238136274,0.0158100402786938,0.8100626877367116,0.0388509109789105,30.0,4.06201920231798,47.0,9.669539802906858
strict_rhetorical_scale_1,strict,1.0,5,0.8641059198185228,0.01764429841563474,0.8605850286002896,0.0186555424571206,0.8385424608886447,0.023457120503815626,0.8698954238136274,0.0158100402786938,0.8100626877367116,0.0388509109789105,30.0,4.06201920231798,47.0,9.669539802906858
strict_rhetorical_scale_2,strict,2.0,5,0.8637531861324558,0.018350662024818727,0.8602007743454688,0.019417910619515255,0.8380329067485175,0.024441518732658315,0.8697580667255977,0.01605398968730657,0.8092562361238084,0.040116711926130616,30.0,4.06201920231798,47.2,9.984988733093292
strict_rhetorical_scale_4,strict,4.0,5,0.8634004524463889,0.01835693502815154,0.8598234205782708,0.019420579857866202,0.8375472366373199,0.024435452764702232,0.8696451361778845,0.016052706361170517,0.8084497845109052,0.040126391895285766,30.0,4.06201920231798,47.4,9.989994994993742
component_rhetorical_scale_2,component,2.0,5,0.8626931154610776,0.017448595950879765,0.8591010268544128,0.018493779919351895,0.836717852430007,0.023369839479474307,0.8687680035978342,0.014557715167626556,0.8076335379391406,0.038941139473312826,30.2,3.7013511046643495,47.6,9.685040010242602
component_rhetorical_scale_0.5,component,0.5,5,0.8623416281837955,0.01874891972938029,0.8587168536602553,0.019849026467600128,0.8362074245486891,0.025006533441676353,0.8686529044135389,0.016270045448490717,0.8068336162988116,0.04090313067205717,30.2,4.08656334834051,47.8,10.183319694480772
component_rhetorical_scale_4,component,4.0,5,0.8619870248845514,0.017135622350916913,0.8583453670066123,0.018182965668544864,0.8357477802958844,0.02303089907033544,0.8685509252863992,0.01444636579130715,0.8060141047407601,0.03847225176476441,30.2,3.7013511046643495,48.0,9.565563234854496
component_rhetorical_scale_1,component,1.0,5,0.8616349144028768,0.01801905010703381,0.8579926763086103,0.01912429084950703,0.8353727979419963,0.024230958521742788,0.867790644025974,0.015380081502413623,0.8060206347133342,0.04018319878697532,30.4,3.9115214431215892,48.0,10.0
